Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""Zombie Master Source Code"" desc=""Source Code"" /]",[kkratings id=312800],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!kVhRWKCC!euvkBqi7ss4JMS2upWTzog"" /]"
"[title_desc name=""Zeno Clash SDK"" desc=""SDK"" /]",[kkratings id=312801],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!IE4SVDpK!O5c4dgs0BeXKTNu0vosIEg"" /]"
"[title_desc name=""Weapon Jetpack Source Code"" desc=""Source Code"" /]",[kkratings id=312802],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!AIo1DbQZ!v5iO1L9P8ARAMhHCxLkfUg"" /]"
"[title_desc name=""Tyrian Source Code"" desc=""Source Code"" /]",[kkratings id=312803],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!IYpgGDZA!Ne9zEWVY60uzreJCuoHSBg"" /]"
"[title_desc name=""Trinity Render"" desc=""Alternate render engine for GoldSrc"" /]",[kkratings id=312804],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!8UZXAaLA!v2qW1pJgaWwqyEXeZexYqQ"" /]"
"[title_desc name=""They Hunger Source Code"" desc=""Source Code"" /]",[kkratings id=312805],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!wZoSjZTT!7ONQrLOMv281nAz-KmIhKw"" /]"
"[title_desc name=""The Ship SDK"" desc=""SDK"" /]",[kkratings id=312806],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!gRhDwBwb!nkdwlBpEmBiJSOxRtGcYxw"" /]"
"[title_desc name=""Spirit of Half-Life Source Code"" desc=""Source Code"" /]",[kkratings id=312807],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!0VhG1KLa!ErxFmPXAN1ZDGzwum8tqmQ"" /]"
"[title_desc name=""Source Towers SDK &amp; Source Code"" desc=""SDK &amp; Source Code"" /]",[kkratings id=312808],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!IBAkkILQ!4-4hRxS0n9Fu5mCeXwMoHA"" /]"
"[title_desc name=""Situation Outbreak Source Code"" desc=""Source Code"" /]",[kkratings id=312809],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!RdZSySAR!9zFT5mdrp2mUxKAFLdyuDg"" /]"
"[title_desc name=""Shotgun Source Code"" desc=""Source Code"" /]",[kkratings id=312810],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!gJAxmLJD!Wlklx5SigUrK_bWJHR2xeA"" /]"
"[title_desc name=""Quick and dirty Bloodlines Tools"" desc=""SDK Tools for Vampire - The Masquerade: Bloodlines"" /]",[kkratings id=312811],"[prev img=""https://s5.postimg.cc/kds53dzif/VTMB_800x600.jpg"" /]",[source],"[mega id=""https://mega.nz/#F!RAJWSZaY!DjIM8SEY8b2FsYrLcj1i0Q"" /]"
"[title_desc name=""Python for Source SDK"" desc=""Integrate Python support into the Source Engine"" /]",[kkratings id=312812],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!EE5jzLyY!XSUtN3ZbgMLZvjG4uxTbJg"" /]"
"[title_desc name=""Prototype 98 RMFs"" desc=""Small collection of maps"" /]",[kkratings id=312813],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!BcpXRDjI!jLzyCgWVnTzJcv5AdgeUhA"" /]"
"[title_desc name=""Pilotable Strider Mod"" desc=""Code source for a pilot-able Strider Mod"" /]",[kkratings id=312814],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!VYR1nZzL!jqW2wzuP0rVe_Njk0tN7gQ"" /]"
"[title_desc name=""Paranoia SDK"" desc=""SDK"" /]",[kkratings id=312815],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!kZonXbRC!btLmWPCLGvc-UDMW89UQNA"" /]"
"[title_desc name=""Orion Source Code"" desc=""Source Code"" /]",[kkratings id=312816],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!pYwyUZBT!T-dhI5SzeFb-hM9m9XKDBA"" /]"
"[title_desc name=""omfgzombieslol Source Code"" desc=""Source Code"" /]",[kkratings id=312817],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lB5XDQpS!YhpB25NfvSboDwfjPkCqDQ"" /]"
"[title_desc name=""Notes Source SDK &amp; Code"" desc=""SDK &amp; Source Code"" /]",[kkratings id=312818],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!ddxSDSSI!v8Cnku4topZYjD1KogoMeA"" /]"
"[title_desc name=""NimMod Source Code"" desc=""Source Code"" /]",[kkratings id=312819],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!1NJQwDZC!uNJ8gy7T_T4S3Y2UKqqdgA"" /]"
"[title_desc name=""Neotokyo SDK"" desc=""SDK"" /]",[kkratings id=312820],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!VZBX0J6K!q2duOF9qDTBGtt3hjj0tPw"" /]"
"[title_desc name=""Multiplayer AI Source Code"" desc=""Source code for Multiplayer bots from fistful of Frags"" /]",[kkratings id=312821],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!JV5HhCjS!zr9RBbWgqx4tYbzOb0Cgcg"" /]"
"[title_desc name=""Mario Kart Source Code"" desc=""Source code"" /]",[kkratings id=312822],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!xUo1nSAR!DD3lF-dVxIvkzKCaXoWE_g"" /]"
"[title_desc name=""Luminous Forts Source Code"" desc=""Source code"" /]",[kkratings id=312823],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!tRQSHSKY!1OCYjWN-ag7Jk3KsoG1F3Q"" /]"
"[title_desc name=""JailBreak Source SDK"" desc=""SDK"" /]",[kkratings id=312824],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!FI4HzDRL!E67xK5sIbSKanIvsf1yuxw"" /]"
"[title_desc name=""Human Error Source Code"" desc=""Source Code"" /]",[kkratings id=312825],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!RJZ2ERRJ!ghYAXC93Bf25juGE-H_ltQ"" /]"
"[title_desc name=""Half-Life SDK (HLSDK)"" desc=""Source Code &amp; SDK for the Original Half-Life"" /]",[kkratings id=312826],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!RJZ2ERRJ!ghYAXC93Bf25juGE-H_ltQ"" /]"
"[title_desc name=""Half-Life 2 SDK (HL2SDK)"" desc=""Source Code &amp; SDK for Half-Life 2"" /]",[kkratings id=312827],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!IJQyQbiY!_d4cR1q6A5Ps_HLSPxHb7Q"" /]"
