Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Introduction to Jeds Half-Life Model Viewer"" desc=""A detailed tutorial covering the features and uses of Jed's HLMV for GoldSrc"" link=""http://www.sourcemodding.com/tutorials/goldsrc/modeling/intro-to-hlmv-goldsrc/"" home=1 /]",[kkratings id=249200],[HL],"[author name=""sourcemodding"" alt=""sourcemodding"" img=""https://s5.postimg.cc/qqsf4fpqb/sourcemodding_author.png""]"
"[tut_desc name=""How to export models from Blender and compile them for GoldSrc"" desc=""Detailed tutorial on the model creation pipeline from blender to GoldSrc"" link=""http://www.isolated-design.de/tutorials/how-to-get-models-from-blender-to-goldsrc/"" home=0 /]",[kkratings id=249201],[HL],"[author name=""ToTac"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png"" ]"
"[tut_desc name=""Editing Half-Life Models."" desc=""The body swap shop."" link=""http://twhl.info/tutorial.php?id=69"" download_link=""https://mega.nz/#F!dQBDGATI!868fFoZLPedD0n-mE8Te_Q"" home=0 /]",[kkratings id=249202],[HL],"[author name=""Vassy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Half-Life Weapon Model Profiles"" desc=""This article details the two weapon models that were released with the Software Developer's Kit. It will give you an idea of polygon limits, texture limits, the skeletons and animations."" link=""http://articles.thewavelength.net/171/"" home=0 /]",[kkratings id=249203],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name="".QC Scripts"" desc="".qc scripts are simple text files, edited in Notepad, and are needed to compile a model. They tell studiomdl.exe where the mesh, textures and animations are but more importantly sets up parameters that Half-Life will need."" link=""http://articles.thewavelength.net/170/"" home=0 /]",[kkratings id=249204],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Half-Life Deathmatch Model Profiles"" desc=""This article details the four deathmatch player models that were released with Half-Life. It will give you an idea of polygon limits, how skins are set up, the skeleton, animations and multiplayer bitmap."" link=""http://articles.thewavelength.net/164/"" home=0 /]",[kkratings id=249205],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Model-Related Console Commands"" desc=""Model-Related Console Commands"" link=""http://articles.thewavelength.net/163/"" home=0 /]",[kkratings id=249206],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""The Making of Dukowski"" desc=""This article will explain how Pred and I created Dukowski, a multiplayer model for Half-Life."" link=""http://articles.thewavelength.net/161/"" home=0 /]",[kkratings id=249207],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Extra Models in Half-Life"" desc=""These are extra models found in the Half-Life .pak file that were not used in the game."" link=""http://web.archive.org/web/20040516155401/http://articles.thewavelength.net/156/"" home=0 /]",[kkratings id=249208],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Modelling For Half-Life"" desc=""In this article I will address what it will take to create models for Half-Life."" link=""http://articles.thewavelength.net/155/"" home=0 /]",[kkratings id=249209],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Skeletal Animation: An Introduction"" desc=""An Introduction to skeletal Animation"" link=""http://articles.thewavelength.net/154/"" home=0 /]",[kkratings id=249210],[HL],"[author name=""Spider"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Modelling for Goldsource"" desc=""A tutorial from start to finish on how to make models for Goldsource (HL1) which provides all of the beginning modelling knowledge needed, even if you have never modelled before."" link=""http://twhl.info/tutorial.php?id=147"" home=0 /]",[kkratings id=249211],[HL],"[author name=""Rimrook"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Re-texturing Models"" desc=""Want your grunts to have new clothes? Try this."" link=""http://twhl.info/tutorial.php?id=59"" download_link=""https://mega.nz/#F!QYQGQbLa!FlSp4bK7wSBRq09lSe5rbg"" home=0 /]",[kkratings id=249212],[HL],"[author name=""Vassy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Half-Life Model Animations"" desc=""This is a complete list of all the original models and their animation sequence names."" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/animations.shtml"" home=0 /]",[kkratings id=249213],[HL],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Making a 3rd Person Model for Half-Life"" desc=""Making a 3rd Person Model for Half-Life"" link=""http://web.archive.org/web/20001206065100/http://www.hlcenter.com/tutorials/modeling.phtml?id=27855&amp;language=en"" home=0 /]",[kkratings id=249214],[HL],"[author name=""HLCenter"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Making a World model for Half-Life"" desc=""Making a World model for Half-Life"" link=""http://web.archive.org/web/20001206062000/http://www.hlcenter.com/tutorials/modeling.phtml?id=27853&amp;language=en"" home=0 /]",[kkratings id=249215],[HL],"[author name=""HLCenter"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""G-max, Things you need to know"" desc=""G-max, Things you need to know"" link=""http://web.archive.org/web/20071105020140/http://www.gamedesign.net/node/1050"" home=0 /]",[kkratings id=249216],[game_multi],"[author name=""Pepper"" alt=""rust"" img=""https://s5.postimg.cc/77imzcj5v/rust.png""]"
"[tut_desc name=""How To: Prepare for your first model (Point Modeling)"" desc=""How To: Prepare for your first model (Point Modeling)"" link=""http://web.archive.org/web/20071128132700/http://www.gamedesign.net/node/534"" home=0 /]",[kkratings id=249217],[game_multi],"[author name=""Pepper"" alt=""rust"" img=""https://s5.postimg.cc/77imzcj5v/rust.png""]"
"[tut_desc name=""All scripted sequences for all models."" desc="" In this document I'll describe all scripted secuences of all models in the pak0.pak file in the half-life directory."" link=""http://web.archive.org/web/20010825111224/http://www.planethalflife.com/workshop/models/ssec_docs.htm"" home=0 /]",[kkratings id=249218],[HL],"[author name=""Otis"" alt=""hlws"" img=""https://s5.postimg.cc/moj66c6pv/hlws.png""]"
"[tut_desc name=""Modeling for Half-Life - Part 1"" desc=""Part 1 of a series of tutorials that will teach you how to model for Half-Life, using the program MilkShape 3D. "" link=""http://web.archive.org/web/20081003012805/http://www.vlatitude.com/tutorials.php?tutID=54"" home=0 /]",[kkratings id=249219],[HL],"[author name=""BB"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Modeling for Half-Life - Part 2"" desc=""Part 2 of the modeling series. This tutorial covers grouping. You've read the first, now read the next."" link=""http://web.archive.org/web/20081003012810/http://www.vlatitude.com/tutorials.php?tutID=55"" home=0 /]",[kkratings id=249220],[HL],"[author name=""BB"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Modeling for Half-Life - Part 3"" desc=""Part 3 of the modeling series. This tutorial will bring you up to speed on the process of texturing."" link=""http://web.archive.org/web/20081003012815/http://www.vlatitude.com/tutorials.php?tutID=57"" home=0 /]",[kkratings id=249221],[HL],"[author name=""BB"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Modeling for Half-Life - Part 4"" desc=""The fourth and final part of the first series of modeling tutorials. This one wraps up everything that has been learned"" link=""http://web.archive.org/web/20081003012821/http://www.vlatitude.com/tutorials.php?tutID=58"" home=0 /]",[kkratings id=249222],[HL],"[author name=""BB"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""GoldSrc Model Tutorial - Basics"" desc=""Hello, and welcome to the GoldSrc model exporting video tutorial. This tutorial covers exporting models using 3DStudio Max and MilkShape 3D"" link=""http://www.the303.org/tutorials/gold_mdl.htm"" home=0 /]",[kkratings id=249223],[HL],"[author name=""TheCorp303"" alt=""303"" img=""https://s5.postimg.cc/h73wmuegz/303_mini.png""]"
"[tut_desc name=""GoldSrc Mouth Procedural Animation Tutorial"" desc=""GoldSrc uses a bone controller to turn audio waveforms into bone rotations. This is how all the scientists and barneys 'talk'"" link=""http://www.the303.org/tutorials/gold_flappyjaws.htm"" home=0 /]",[kkratings id=249224],[HL],"[author name=""TheCorp303"" alt=""303"" img=""https://s5.postimg.cc/h73wmuegz/303_mini.png""]"
"[tut_desc name=""Sven-Coop Playermodel Color Remap Tutorial"" desc=""Sven-Coop Playermodel Color Remap Tutorial"" link=""http://www.the303.org/tutorials/gold_remap.htm"" home=0 /]",[kkratings id=249225],[HL],"[author name=""TheCorp303"" alt=""303"" img=""https://s5.postimg.cc/h73wmuegz/303_mini.png""]"
"[tut_desc name=""Converting Source models to Goldsource"" desc=""In this tutorial, we will learn how to convert models from the source engine (Half-life 2) to the goldsource engine with minimal quality loss."" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/185/Converting_Source_models_to_Goldsource"" home=0 /]",[kkratings id=249226],[HL],"[author name=""Le Chief"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Adding blood trails to gibs using P2 Model Viewer"" desc=""Probably easiest tutorial ever, you can add Quake 1 blood trails to gibs without any coding at all"" link=""https://gamebanana.com/tuts/12551"" /]","[kkratings id=""249227""]",[HL],"[author name=""Chyvachok"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
