Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""How to Make a Half-Life Modification"" desc=""An extensive guide everyone will enjoy!"" link=""http://articles.thewavelength.net/266/"" home=0 /]","[kkratings id=""394700""]",[HL],"[author name=""EarthQuake"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Half-Life Movies"" desc=""Impressive movies made easy."" link=""http://articles.thewavelength.net/546/"" home=0 /]","[kkratings id=""394701""]",[HL],"[author name=""Forceflow"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Half-Life directories"" desc=""What is in the Pak0.pak file?"" link=""https://twhl.info/wiki/page/Tutorial%3A_Half-Life_directories"" home=0 /]","[kkratings id=""394702""]",[HL],"[author name=""paulkennedy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Setting up a Mod: Part 1, Custom Game feature"" desc=""Make use of the Custom Game Feature"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_1_Custom_Game_feature"" home=0 /]","[kkratings id=""394703""]",[HL],"[author name=""Vassy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Setting up a Mod: Part 2, Splash Screens"" desc=""Adding splash screens to your custom Mod"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_2_Splash_Screens"" download_link=""https://mega.nz/#F!xBIwGQQB!hPlT-wAsyyjWAIGjhp6JFQ"" home=0 /]","[kkratings id=""394704""]",[HL],"[author name=""Steinin"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Setting up a Mod: Part 3, Game Strings"" desc=""Modifying Game Strings"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_3_Game_Strings"" download_link=""https://mega.nz/#F!QA4n1Y5a!1GDJH_kCQy82ym2-gopTcg"" home=0 /]","[kkratings id=""394705""]",[HL],"[author name=""Steinin"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Setting up a Mod: Part 4, Customised HUD colour"" desc=""Change the colour of your HUD."" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_4_Customised_HUD_colour"" home=0 /]","[kkratings id=""394706""]",[HL],"[author name=""m0p"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Splash Screens for Steam"" desc=""How to get your mod splash screens to work in Steam HL."" link=""https://twhl.info/wiki/page/Tutorial%3A_Splash_Screens_for_Steam"" home=0 /]","[kkratings id=""394707""]",[HL],"[author name=""ChickenFist"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Steam"" desc=""Mapping with Steam"" link=""https://twhl.info/wiki/page/Tutorial%3A_Steam"" home=0 /]","[kkratings id=""394708""]",[HL],"[author name=""Seventh-Monkey"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""The Valve Half-Life SDK"" desc=""botmans introduction to The Valve Half-Life SDK"" link=""http://hpb-bot.bots-united.com/sdk.html"" home=0 /]","[kkratings id=""394709""]",[HL],"[author name=""botman"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
